version,,,,,,,,price
iPhone,iPhone OS 1.0,29-Jun-07,9-Jun-08,20-Jun-10,iPhone OS 3.1.3,"2 years, 11 months",2 years,$499/$599*
iPhone 3G,iPhone OS 2.0,11-Jul-08,9-Aug-10,3-Mar-11,iOS 4.2.1,"2 years, 7 months",6 months,"$199/$299*
$599/$699"
iPhone 3GS,iPhone OS 3.0,19-Jun-09,12-Sep-12,18-Sep-13,iOS 6.1.6,"4 years, 2 months",1 year,
iPhone 4,iOS 4.0,24-Jun-10,10-Sep-13,17-Sep-14,iOS 7.1.2,,,
iPhone 4S,iOS 5.0,14-Oct-11,9-Sep-14,"September 12, 2016
(late, single update: July 22, 2019)","iOS 9.3.5
(9.3.6)","4 years, 10 months",2 years,"$199/$299/$399*
$649/$749/$849"
iPhone 5,iOS 6.0,21-Sep-12,10-Sep-13,"September 18, 2017
(late, single update: July 22, 2019)","iOS 10.3.3
(10.3.4)","4 years, 11 months",4 years,
iPhone 5C,iOS 7.0,20-Sep-13,9-Sep-15,18-Sep-17,iOS 10.3.3,"3 years, 11 months",2 years,"$99/$199*
$549/$649"
iPhone 5S,iOS 7.0,20-Sep-13,21-Mar-16,"September 18, 2019
(latest, exclusive update: September 23, 2021)","iOS 12.4.1
(12.5.5)","5 years, 11 months","3 years, 5 months","$199/$299/$399*
$649/$749/$849"
iPhone 6 / 6 Plus,iOS 8.0,19-Sep-14,7-Sep-16,,,"4 years, 11 months",3 years,"$199/$299/$399*
$649/$749/$849
Plus:$299/$399/$499*
Plus:$749/$849/$949"
iPhone 6S / 6S Plus,iOS 9.0.1,25-Sep-15,12-Sep-18,current,latest iOS,"6 years, 1 month","3 years, 1 month","$199/$299/$399*
$649/$749/$849
Plus:$299/$399/$499*
Plus:$749/$849/$949"
iPhone SE (1st),iOS 9.3,31-Mar-16,12-Sep-18,,,"5 years, 7 months","3 years, 1 month",$399/$499
iPhone 7 / 7 Plus,iOS 10.0.1,16-Sep-16,10-Sep-19,,,"5 years, 1 month","2 years, 1 month","$199/$299/$399*
$649/$749/$849
Plus:$319/$419/$519*
Plus:$769/$869/$969"
iPhone 8 / 8 Plus,iOS 11.0,22-Sep-17,15-Apr-20,,,"4 years, 1 month","1 year, 6 months","$699/$849
Plus:$799/$949"
iPhone X,iOS 11.0.1,3-Nov-17,12-Sep-18,,,"3 years, 11 months","3 years, 1 month","$549/$699*
$999/$1149"
iPhone XR,iOS 12.0,26-Oct-18,14-Sep-21,,,3 years,1 month,$749/$799/$899
iPhone XS / XS Max,iOS 12.0,21-Sep-18,10-Sep-19,,,"3 years, 1 month","2 years, 1 month","$999/$1149/$1349
Max:$1099/$1249/$1449"
iPhone 11,iOS 13.0,20-Sep-19,,current,latest iOS,"2 years, 1 month",,$699/$749/$849
iPhone 11 Pro / 11 Pro Max,iOS 13.0,20-Sep-19,13-Oct-20,current,latest iOS,"2 years, 1 month",1 year,"$999/$1149/$1349
Max: $1099/$1249/$1449"
iPhone SE (2nd),iOS 13.4,24-Apr-20,,current,latest iOS,"1 year, 6 months",,$399/$449/$549
iPhone 12 / 12 Mini,iOS 14.1 (12)iOS 14.2 (12 Mini),"October 23, 2020 (12)November 13, 2020 (12 Mini)",,,,1 year (12)11 months (12 Mini),,$829/$879/$979**Mini: $729/$779/$879**
iPhone 12 Pro / 12 Pro Max,iOS 14.1 (12 Pro)iOS 14.2 (12 Pro Max),"October 23, 2020 (12 Pro)November 13, 2020 (12 Pro Max)",14-Sep-21,current,latest iOS,1 year (12 Pro)11 months (12 Pro Max),1 month,$999/$1099/$1299Max: $1099/$1199/$1399
iPhone 13 / 13 Mini,iOS 15.0,24-Sep-21,,current,latest iOS,1 month,,$829/$929/$1129**Mini: $729/$829/$1029**
iPhone 13 Pro / 13 Pro Max,iOS 15.0,24-Sep-21,,,,,,$999/$1099/$1299/$1499Max: $1099/$1199/$1399/$1599
